"date","close","volume","open","high","low"
"2017/05/22","67.3800","2365691.0000","65.4200","67.5000","65.2650"
"2017/05/19","64.9200","706013.0000","64.8100","65.6500","64.7900"
"2017/05/18","64.6600","1405091.0000","64.5300","64.8500","63.9610"
"2017/05/17","64.8900","1148939.0000","65.7500","66.1400","64.8600"
"2017/05/16","66.5400","1176093.0000","66.4100","66.9599","66.3800"
"2017/05/15","66.2600","1405789.0000","65.0300","66.5600","64.8600"
"2017/05/12","64.9500","5976548.0000","66.1000","66.3800","64.9500"
"2017/05/11","66.1000","1401229.0000","66.4900","66.6200","65.9000"
"2017/05/10","66.9800","1117802.0000","67.1500","67.4200","66.5700"
"2017/05/09","67.2400","1248437.0000","67.6000","68.2500","67.0500"
"2017/05/08","67.6300","2077093.0000","67.3900","67.9890","67.0600"
"2017/05/05","67.2900","1412984.0000","66.3400","67.3800","66.2700"
"2017/05/04","66.3200","877921.0000","66.1800","66.5300","65.8800"
"2017/05/03","66.1700","868816.0000","66.8300","66.8300","66.0000"
"2017/05/02","66.9300","1138842.0000","67.5700","67.8000","66.6900"
"2017/05/01","67.5700","1729047.0000","67.4400","67.7100","67.0400"
"2017/04/28","67.1100","872074.0000","67.4600","67.7500","66.6300"
"2017/04/27","67.4300","873965.0000","67.5000","67.5900","67.0600"
"2017/04/26","67.0600","1524179.0000","66.3500","67.5400","66.3500"
"2017/04/25","66.3500","2149133.0000","66.6500","66.9457","66.2600"
"2017/04/24","66.1800","2264656.0000","65.0000","66.2400","64.9200"
"2017/04/21","64.4200","1673131.0000","65.0300","65.0300","64.2200"
"2017/04/20","64.9000","943480.0000","64.5600","65.0300","64.1300"
"2017/04/19","64.5300","700322.0000","64.7000","64.7000","64.4100"
"2017/04/18","64.3900","833685.0000","64.0200","64.6500","63.7600"
"2017/04/17","64.2500","644099.0000","63.9600","64.3400","63.9600"
"2017/04/13","63.9200","1061050.0000","63.8300","64.4700","63.7100"
"2017/04/12","63.9000","1291231.0000","64.6100","64.9200","63.7200"
"2017/04/11","65.1100","1487266.0000","64.9300","65.2000","64.3400"
"2017/04/10","64.9100","2007478.0000","64.8800","65.2600","64.6500"
"2017/04/07","64.8700","1612667.0000","64.3200","64.9600","64.2000"
"2017/04/06","64.2000","1894866.0000","64.1200","64.4900","63.8500"
"2017/04/05","64.0200","2176914.0000","64.4400","64.9300","63.8400"
"2017/04/04","64.1800","1594134.0000","63.7400","64.6000","63.6900"
"2017/04/03","63.8500","1709047.0000","63.9900","64.9200","63.5400"
"2017/03/31","64.0800","1762892.0000","63.9600","64.4000","63.7300"
"2017/03/30","63.9900","2585434.0000","63.9000","65.2800","63.7000"
"2017/03/29","63.9000","1389011.0000","63.4600","64.0100","63.2650"
"2017/03/28","63.5700","1444760.0000","63.2100","64.1100","63.2100"
"2017/03/27","63.3700","833083.0000","62.7700","63.6700","62.3300"
"2017/03/24","63.3700","761414.0000","63.4400","64.1000","62.9100"
"2017/03/23","63.0800","798915.0000","62.9700","63.6500","62.5300"
"2017/03/22","62.9800","728810.0000","62.4600","63.2000","62.3400"
"2017/03/21","62.4400","1193469.0000","64.2500","64.3900","62.2400"
"2017/03/20","64.0700","678506.0000","64.0600","64.2800","63.6600"
"2017/03/17","64.1900","932366.0000","64.3300","64.7500","63.9800"
"2017/03/16","64.0000","1158251.0000","63.8000","64.2300","63.3600"
"2017/03/15","63.7300","885664.0000","63.5600","64.1100","63.2900"
"2017/03/14","63.4900","868631.0000","63.5100","63.6500","62.8400"
"2017/03/13","63.5000","1498507.0000","63.3000","63.8445","63.1300"
